1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,not set,not set
2,Jumanji (1995),Adventure|Children|Fantasy,not set,not set
3,Grumpier Old Men (1995),Comedy|Romance,not set,not set
4,Waiting to Exhale (1995),Comedy|Drama|Romance,not set,not set
5,Father of the Bride Part II (1995),Comedy,not set,not set
6,Heat (1995),Action|Crime|Thriller,not set,not set
7,Sabrina (1995),Comedy|Romance,not set,not set
8,Tom and Huck (1995),Adventure|Children,not set,not set
9,Sudden Death (1995),Action,not set,not set
10,GoldenEye (1995),Action|Adventure|Thriller,not set,not set
11,American President, The (1995),Comedy|Drama|Romance,not set
12,Dracula: Dead and Loving It (1995),Comedy|Horror,not set,not set
13,Balto (1995),Adventure|Animation|Children,not set,not set
14,Nixon (1995),Drama,not set,not set
15,Cutthroat Island (1995),Action|Adventure|Romance,not set,not set
16,Casino (1995),Crime|Drama,not set,not set
17,Sense and Sensibility (1995),Drama|Romance,not set,not set
18,Four Rooms (1995),Comedy,not set,not set
19,Ace Ventura: When Nature Calls (1995),Comedy,not set,not set
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,not set,not set
21,Get Shorty (1995),Comedy|Crime|Thriller,not set,not set
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,not set,not set
23,Assassins (1995),Action|Crime|Thriller,not set,not set
24,Powder (1995),Drama|Sci-Fi,not set,not set
25,Leaving Las Vegas (1995),Drama|Romance,not set,not set
26,Othello (1995),Drama,not set,not set
27,Now and Then (1995),Children|Drama,not set,not set
28,Persuasion (1995),Drama|Romance,not set,not set
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,not set,not set
31,Dangerous Minds (1995),Drama,not set,not set
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,not set,not set
34,Babe (1995),Children|Drama,not set,not set
35,Carrington (1995),Drama|Romance,not set,not set
36,Dead Man Walking (1995),Crime|Drama,not set,not set
37,Across the Sea of Time (1995),Documentary|IMAX,not set,not set
38,It Takes Two (1995),Children|Comedy,not set,not set
39,Clueless (1995),Comedy|Romance,not set,not set
40,Cry, the Beloved Country (1995),Drama,not set
41,Richard III (1995),Drama|War,not set,not set
42,Dead Presidents (1995),Action|Crime|Drama,not set,not set
43,Restoration (1995),Drama,not set,not set
44,Mortal Kombat (1995),Action|Adventure|Fantasy,not set,not set
45,To Die For (1995),Comedy|Drama|Thriller,not set,not set
46,How to Make an American Quilt (1995),Drama|Romance,not set,not set
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,not set,not set
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,not set,not set
49,When Night Is Falling (1995),Drama|Romance,not set,not set
50,Usual Suspects, The (1995),Crime|Mystery|Thriller,not set
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,not set,not set
53,Lamerica (1994),Adventure|Drama,not set,not set
54,Big Green, The (1995),Children|Comedy,not set
55,Georgia (1995),Drama,not set,not set
57,Home for the Holidays (1995),Drama,not set,not set
60,Indian in the Cupboard, The (1995),Adventure|Children|Fantasy,not set
61,Eye for an Eye (1996),Drama|Thriller,not set,not set
62,Mr. Holland's Opus (1995),Drama,not set,not set
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,not set,not set
64,Two if by Sea (1996),Comedy|Romance,not set,not set
65,Bio-Dome (1996),Comedy,not set,not set
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,not set,not set
68,French Twist (Gazon maudit) (1995),Comedy|Romance,not set,not set
69,Friday (1995),Comedy,not set,not set
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,not set,not set
71,Fair Game (1995),Action,not set,not set
72,Kicking and Screaming (1995),Comedy|Drama,not set,not set
73,Misérables, Les (1995),Drama|War,not set
74,Bed of Roses (1996),Drama|Romance,not set,not set
76,Screamers (1995),Action|Sci-Fi|Thriller,not set,not set
77,Nico Icon (1995),Documentary,not set,not set
78,Crossing Guard, The (1995),Action|Crime|Drama|Thriller,not set
79,Juror, The (1996),Drama|Thriller,not set
80,White Balloon, The (Badkonake sefid) (1995),Children|Drama,not set
